Url,Multiple title tags
https://terrifictravel.co.uk/v/10-day-private-4-star-umrah,Hajj and Umrah Flights from UK - 10-Day Package - 23 AUG - 02 SEP
https://terrifictravel.co.uk/v/10-day-private-5-star-umrah,Hajj and Umrah Flights from UK - 10-Day Package - 23 AUG - 02 SEP
https://terrifictravel.co.uk/v/cheap-flights-to-saudi-arabia-from-uk,Cheap Flights from London to Jeddah
https://terrifictravel.co.uk/v/cmsypohol0006iveobx3xs7w7,Cheap Flights from London to Jeddah
https://terrifictravel.co.uk/v/cmt73ifxu001d13zgtbxjl3k7,Cheap Flights to Islamabad - November 2023
https://terrifictravel.co.uk/v/dubai-city-break,Cheap Flights to Jeddah from London - Holiday Package - Flexible departures throughout 2026/27
https://terrifictravel.co.uk/v/istanbul-city-break-package,Cheap Flights to Jeddah from London - Holiday Package - Flexible departures throughout 2026/27
https://terrifictravel.co.uk/v/uk-to-islamabad-1,Cheap Flights to Islamabad - November 2023
